,VideoID,ChannelID,CategoryID,VideoTitle,ChannelTitle,CategoryName,ViewCount,LikeCount,DislikeCount,Duration
31,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
32,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
33,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
34,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
35,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
36,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
37,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
38,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
39,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
40,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
41,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
42,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
43,buwYuH3Ja1M,UCyEEqjhf3NeujoC73yUZbKw,22,20-MINUTE YOGA CLASS 💪 Power Vinyasa Flow Yoga Class with Ashton August,YouAligned,People & Blogs,148732,2091,0,1086.0
